,Values (all in base SI units)
pin_diameter,0.01
bolt_diameter,0.002
inter_flange_width,0.01
flange_thickness,0.002
flange_height,0.012
base_thickness,0.0008
spacecraft_thickness,0.0012
material,4130_steel
